RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency,zip_code,county,Number of unemployed 16 years and older in the civilian workforce,Population 16 years and older in the civilian workforce,Percentage of families below the poverty level,num_unemployed_16_civilian_workforce,population_16_civilian_workforce,percent_below_poverty_level,unemployment_percentage,neighborhood,year_of_economic_data
150162990252053,Alcott Elem School,Chicago,81.0,73.2,72.8,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990252059,Armstrong G Elem IntL Studies,Chicago,56.3,44.4,37.6,60645,Cook,1661.0,23259.0,12.1,1661.0,23259.0,12.1,7.141321638935466,Rogers Park,2023
150162990252437,Ashe Elem School,Chicago,24.4,*,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252063,Avalon Park Elem School,Chicago,29.5,13.0,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252067,Barry Elem School,Chicago,30.5,19.0,*,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990252068,Barton Elem School,Chicago,15.2,6.3,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252069,Bass Elem School,Chicago,17.6,10.2,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252081,Belding Elem School,Chicago,62.7,48.9,46.3,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990252087,Blaine Elem School,Chicago,83.8,77.9,77.8,60613,Cook,1541.0,37590.0,2.4,1541.0,37590.0,2.4,4.099494546421921,Lake View,2023
150162990252088,Bond Elem School,Chicago,13.7,*,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252093,Brennemann Elem School,Chicago,25.9,16.1,22.4,60613,Cook,1541.0,37590.0,2.4,1541.0,37590.0,2.4,4.099494546421921,Lake View,2023
150162990252094,Brentano Elem Math & Science Acad,Chicago,64.0,45.1,57.2,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252110,Brunson Math & Sci Specialty Elem,Chicago,13.8,*,*,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252104,Burley Elem School,Chicago,86.7,71.8,76.3,60657,Cook,1777.0,52205.0,3.9,1777.0,52205.0,3.9,3.4038885164256296,Lincoln Park,2023
150162990252107,Burnside Elem Scholastic Academy,Chicago,47.6,15.4,22.9,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252118,Cameron Elem School,Chicago,26.3,14.2,14.6,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252783,Cardenas Elem School,Chicago,49.9,30.7,28.1,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252862,Casals Elem School,Chicago,66.3,53.2,26.0,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252130,Chase Elem School,Chicago,54.1,30.3,40.8,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252936,Claremont STEM Magnet Elementary School,Chicago,22.0,13.9,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990250841,Collins Academy STEAM High School,Chicago,*,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252139,Cook Elem School,Chicago,19.6,*,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252145,Corkery Elem School,Chicago,12.3,9.8,24.8,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252921,Courtenay Elem Language Arts Ctr,Chicago,22.0,12.6,*,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
150162990252147,Crown Elem Comm Acd Fine Arts Ctr,Chicago,31.7,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252617,Cuffe Math-Sci Tech Elem Academy,Chicago,30.8,9.5,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252148,Darwin Elem School,Chicago,45.9,17.6,21.4,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252954,Davis M Magnet Elem School,Chicago,44.8,38.6,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990252805,Decatur Classical Elem School,Chicago,95.7,96.5,94.6,60645,Cook,1661.0,23259.0,12.1,1661.0,23259.0,12.1,7.141321638935466,Rogers Park,2023
150162990252153,Deneen Elem School,Chicago,37.1,9.7,11.5,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990250832,Devry Advantage Academy High Schl,Chicago,66.2,37.7,57.1,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
150162990252160,Disney Elem Magnet School,Chicago,58.2,39.0,50.4,60613,Cook,1541.0,37590.0,2.4,1541.0,37590.0,2.4,4.099494546421921,Lake View,2023
150162990252949,Disney II Elem School,Chicago,70.0,54.1,67.9,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990252161,Dixon Elem School,Chicago,46.6,24.0,16.3,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252179,Dvorak Technology Acad Elem Sch,Chicago,21.6,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252180,Earle Elem School,Chicago,23.3,8.0,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990250867,Englewood STEM High School,Chicago,8.4,*,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252190,Ericson Elem Scholastic Academy,Chicago,39.3,11.2,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252194,Falconer Elem School,Chicago,34.5,28.4,26.1,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990252195,Faraday Elem School,Chicago,27.8,13.3,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990250011,Farragut Career Academy HS,Chicago,25.0,*,20.0,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252203,Field Elem School,Chicago,39.8,13.3,26.6,60626,Cook,1823.0,30102.0,11.7,1823.0,30102.0,11.7,6.056076008238655,Rogers Park,2023
150162990250013,Foreman High School,Chicago,11.6,*,14.7,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990252206,Fort Dearborn Elem School,Chicago,25.9,9.8,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252618,Foster Park Elem School,Chicago,24.0,11.8,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252945,Frazier Perspectives Magnet ES,Chicago,36.4,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252211,Funston Elem School,Chicago,26.2,10.1,*,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252212,Gale Elem Community Academy,Chicago,11.6,*,*,60626,Cook,1823.0,30102.0,11.7,1823.0,30102.0,11.7,6.056076008238655,Rogers Park,2023
150162990252215,Gary Elem School,Chicago,30.2,18.7,18.2,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252236,Gillespie Elem School,Chicago,25.3,8.7,19.2,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252220,Goethe Elem School,Chicago,55.3,35.2,40.7,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252223,Goudy Technology Academy,Chicago,50.2,38.6,34.4,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
150162990252226,Gray Elem School,Chicago,39.5,24.5,34.3,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990252227,Greeley Elem School,Chicago,36.6,28.0,25.0,60613,Cook,1541.0,37590.0,2.4,1541.0,37590.0,2.4,4.099494546421921,Lake View,2023
150162990252230,Gregory Math & Sci Elem Academy,Chicago,38.4,19.1,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252231,Gresham Elem School,Chicago,40.9,15.6,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252240,Hamilton Elem School,Chicago,76.5,69.5,73.5,60657,Cook,1777.0,52205.0,3.9,1777.0,52205.0,3.9,3.4038885164256296,Lincoln Park,2023
150162990252242,Hammond Elem School,Chicago,29.9,13.4,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252052,Harriet Tubman Elem School,Chicago,68.5,44.8,49.3,60657,Cook,1777.0,52205.0,3.9,1777.0,52205.0,3.9,3.4038885164256296,Lincoln Park,2023
150162990252246,Harvard Elem School,Chicago,27.2,8.3,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252249,Hawthorne Elem Scholastic Academy,Chicago,96.0,95.3,89.5,60657,Cook,1777.0,52205.0,3.9,1777.0,52205.0,3.9,3.4038885164256296,Lincoln Park,2023
150162990252636,Hay Elem Community Academy,Chicago,34.6,14.0,*,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252252,Hayt Elem School,Chicago,38.7,23.9,29.3,60660,Cook,1630.0,26530.0,8.3,1630.0,26530.0,8.3,6.143987938183189,Edgewater,2023
150162990252257,Hefferan Elem School,Chicago,12.4,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252258,Henderson Elem School,Chicago,27.0,*,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990252263,Herzl Elem School,Chicago,7.3,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990250019,Hirsch Metropolitan High School,Chicago,*,*,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252270,Holmes Elem School,Chicago,13.3,*,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252276,Hughes  C Elem School,Chicago,21.0,16.3,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990250837,Infinity Math  Science & Tech HS,Chicago,48.2,27.7,34.8,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252358,Inter-American Elem Magnet School,Chicago,53.3,38.2,49.3,60613,Cook,1541.0,37590.0,2.4,1541.0,37590.0,2.4,4.099494546421921,Lake View,2023
150162990252046,Jackson M Elem School,Chicago,15.5,9.9,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252284,Jahn Elem School,Chicago,40.7,20.0,30.8,60657,Cook,1777.0,52205.0,3.9,1777.0,52205.0,3.9,3.4038885164256296,Lincoln Park,2023
150162990252290,Johnson STEAM Elementary,Chicago,23.1,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252775,Joplin Elem School,Chicago,38.0,22.2,25.5,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252889,Jordan Elem Community School,Chicago,28.8,24.0,*,60626,Cook,1823.0,30102.0,11.7,1823.0,30102.0,11.7,6.056076008238655,Rogers Park,2023
150162990252806,Kanoon Elem Magnet School,Chicago,21.0,11.0,18.5,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252294,Kershaw Elem School,Chicago,32.8,15.4,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252296,Kilmer Elem School,Chicago,29.8,20.0,23.2,60626,Cook,1823.0,30102.0,11.7,1823.0,30102.0,11.7,6.056076008238655,Rogers Park,2023
150162990252267,King Academy of Social Justice,Chicago,15.8,*,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252300,Kipling Elem School,Chicago,35.6,25.2,39.5,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990250026,Lake View High School,Chicago,34.9,14.1,26.2,60613,Cook,1541.0,37590.0,2.4,1541.0,37590.0,2.4,4.099494546421921,Lake View,2023
150162990252704,Langford A Elem School,Chicago,24.0,10.7,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
