RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency,zip_code,county,Number of unemployed 16 years and older in the civilian workforce,Population 16 years and older in the civilian workforce,Percentage of families below the poverty level,num_unemployed_16_civilian_workforce,population_16_civilian_workforce,percent_below_poverty_level,unemployment_percentage,neighborhood,year_of_economic_data
150162990252306,LaSalle Elem Language Academy,Chicago,67.9,56.7,51.0,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990252309,Lawndale Elem Community Academy,Chicago,13.6,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252856,Lenart Elem Regional Gifted Ctr,Chicago,89.0,70.9,85.0,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252311,Lewis Elem School,Chicago,19.2,7.3,*,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252314,Lincoln Elem School,Chicago,86.4,80.1,83.0,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990250047,Lincoln Park High School,Chicago,74.2,50.2,66.2,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990250833,Lindblom Math & Science Acad HS,Chicago,78.8,48.7,63.6,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990252896,Little Village Elem School,Chicago,29.6,11.5,26.3,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252355,Logan Square Elementary,Chicago,25.4,13.9,20.6,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252321,Lowell Elem School,Chicago,26.3,*,21.5,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252838,Madero Middle School,Chicago,33.0,12.1,38.4,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252324,Madison Elem School,Chicago,34.4,*,24.5,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252829,Maria Saucedo STEAM Magnet Academy,Chicago,24.8,13.3,17.2,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252912,Marine Leadership Academy - Ames,Chicago,22.8,10.4,25.5,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990250029,Marshall Metropolitan High School,Chicago,*,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252334,Mason Elem School,Chicago,18.9,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252337,Mayer Elem School,Chicago,83.9,67.6,73.3,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990252802,Mays Elem Academy,Chicago,15.7,7.4,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252877,McAuliffe Elem School,Chicago,21.7,14.6,20.0,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252341,McCormick Elem School,Chicago,26.1,11.9,21.3,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252344,McCutcheon Elem School,Chicago,30.3,14.0,19.4,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
150162990252345,McDade Elem Classical School,Chicago,91.6,87.0,76.5,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252737,McDowell Elem School,Chicago,41.4,22.4,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252634,McNair Elem School,Chicago,19.1,12.1,*,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252349,McPherson Elem School,Chicago,48.6,34.8,33.3,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
150162990252352,Melody Elem School,Chicago,21.0,*,14.5,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252356,Moos Elem School,Chicago,33.3,13.7,17.9,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252089,Mosaic School of Fine Arts,Chicago,34.6,20.6,26.1,60645,Cook,1661.0,23259.0,12.1,1661.0,23259.0,12.1,7.141321638935466,Rogers Park,2023
150162990252363,Mozart Elem School,Chicago,33.6,11.5,20.9,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990250836,Multicultural Arts High School,Chicago,19.3,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252369,Neil Elem School,Chicago,20.3,*,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252370,Nettelhorst Elem School,Chicago,68.9,58.8,60.2,60657,Cook,1777.0,52205.0,3.9,1777.0,52205.0,3.9,3.4038885164256296,Lincoln Park,2023
150162990252930,New Field Elem School,Chicago,35.4,35.4,,60626,Cook,1823.0,30102.0,11.7,1823.0,30102.0,11.7,6.056076008238655,Rogers Park,2023
150162990252371,Newberry Elem Math & Science Acad,Chicago,39.2,21.8,26.9,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990252072,Nicholson Technology Acad Elem Sch,Chicago,15.9,9.0,12.5,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252375,Nobel Elem School,Chicago,25.7,9.9,16.0,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252381,Oglesby Elem School,Chicago,24.3,8.4,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990250847,Orr Academy High School,Chicago,*,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252898,Ortiz De Dominguez Elem School,Chicago,*,*,,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252387,OToole Elem School,Chicago,18.2,9.6,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990252392,Parker Elem Community Academy,Chicago,24.4,5.5,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252399,Peirce Elem Intl Studies School,Chicago,53.0,35.3,44.9,60660,Cook,1630.0,26530.0,8.3,1630.0,26530.0,8.3,6.143987938183189,Edgewater,2023
150162990252400,Penn Elem School,Chicago,11.5,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252385,Piccolo Elem Specialty School,Chicago,29.8,10.2,22.8,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252405,Pirie Elem Fine Arts & Academic C,Chicago,25.2,10.8,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252409,Portage Park Elem School,Chicago,46.3,27.8,29.2,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990252410,Prescott Elem School,Chicago,83.7,66.9,70.8,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990252413,Pulaski Intl Sch of Chicago,Chicago,62.9,47.2,59.3,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990250826,Raby High School,Chicago,*,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252807,Randolph Elem School,Chicago,15.5,5.9,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990252416,Ravenswood Elem School,Chicago,80.3,55.8,58.0,60613,Cook,1541.0,37590.0,2.4,1541.0,37590.0,2.4,4.099494546421921,Lake View,2023
150162990252423,Revere Elem School,Chicago,18.5,9.4,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252426,Rogers Elem School,Chicago,60.6,42.5,48.6,60645,Cook,1661.0,23259.0,12.1,1661.0,23259.0,12.1,7.141321638935466,Rogers Park,2023
150162990252428,Ruggles Elem School,Chicago,40.7,12.9,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252429,Ryder Elem Math & Sci Spec School,Chicago,24.7,11.7,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990252438,Scammon Elem School,Chicago,38.2,23.1,20.5,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990250835,School of Social Justice HS,Chicago,26.6,*,21.9,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990250036,Schurz High School,Chicago,18.3,12.5,15.9,60641,Cook,2325.0,38506.0,10.0,2325.0,38506.0,10.0,6.03802004882356,Portage Park,2023
150162990250037,Senn High School,Chicago,44.9,26.3,43.3,60660,Cook,1630.0,26530.0,8.3,1630.0,26530.0,8.3,6.143987938183189,Edgewater,2023
150162990252454,Sherwood Elem School,Chicago,23.7,14.2,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990250537,Simeon Career Academy High School,Chicago,15.5,9.8,24.0,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990250818,Spry Community Links High School,Chicago,*,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252469,Spry Elem Community School,Chicago,21.3,8.6,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252464,Stagg Elem School,Chicago,20.3,12.4,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252472,Stowe Elem School,Chicago,22.4,12.9,*,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990250042,Sullivan High School,Chicago,12.4,11.3,16.5,60626,Cook,1823.0,30102.0,11.7,1823.0,30102.0,11.7,6.056076008238655,Rogers Park,2023
150162990252475,Sumner Elem Math & Sci Comm Acad,Chicago,52.6,29.8,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252477,Swift Elem Specialty School,Chicago,36.5,24.5,20.0,60660,Cook,1630.0,26530.0,8.3,1630.0,26530.0,8.3,6.143987938183189,Edgewater,2023
150162990252479,Tanner Elem School,Chicago,20.5,*,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252901,Telpochcalli Elem School,Chicago,34.1,15.4,22.7,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252487,Tilton Elem School,Chicago,16.2,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252826,Turner-Drew Elem Language Academy,Chicago,48.9,36.0,36.8,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990250829,Uplift Community High School,Chicago,*,*,*,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
150162990252767,Ward  L Elem School,Chicago,16.0,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252401,Washington  H Elem School,Chicago,32.9,*,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252505,Webster Elem School,Chicago,32.4,40.0,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252506,Wentworth Elem School,Chicago,14.0,5.2,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990252908,West Park Elem Academy,Chicago,34.9,13.3,17.9,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252965,West Ridge Elem School,Chicago,39.8,30.8,15.7,60645,Cook,1661.0,23259.0,12.1,1661.0,23259.0,12.1,7.141321638935466,Rogers Park,2023
150162990252507,Westcott Elem School,Chicago,18.7,6.8,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990250857,Westinghouse High School,Chicago,55.5,31.0,51.1,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252513,Whitney Elem School,Chicago,27.1,15.8,28.6,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990250830,World Language High School,Chicago,39.2,*,17.6,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252542,Yates Elem School,Chicago,23.2,12.8,*,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252525,Young Elem School,Chicago,22.6,7.8,17.7,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252897,Zapata Elem Academy,Chicago,38.7,19.4,27.7,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
